,Anton Döner,Cafe-Snack-banhmyvietnam,Cafe Pinut Berlin,Gode Wind - Hauptstadtkogge,AP Gastro Connection GmbH,Ristorante Il Bufalo,Steineckes Heidebrot bakery GmbH & Co. KG,Mendoza Steakhaus Am Tierpark,Sturgis
Anton Döner,0,16,31,1,45,57,1,1,49
Cafe-Snack-banhmyvietnam,16,0,26,1,43,50,1,1,39
Cafe Pinut Berlin,31,26,0,46,25,30,1,44,19
Gode Wind - Hauptstadtkogge,1,1,46,0,23,30,44,52,38
AP Gastro Connection GmbH,45,43,25,23,0,16,50,38,21
Ristorante Il Bufalo,57,50,30,30,16,0,39,24,10
Steineckes Heidebrot bakery GmbH & Co. KG,1,1,1,44,50,39,0,26,50
Mendoza Steakhaus Am Tierpark,1,1,44,52,38,24,26,0,29
Sturgis,49,39,19,38,21,10,50,29,0
